Fecha Último Apert.  Dif. Máx. Mín. Volumen
30/5/13 435.38 434.96 0.3  439.45 433.32 1033806
29/5/13 434.16 437.86 -1.5  438.84 432.18 895284
28/5/13 440.64 441.55 0.9  446 440.2 1013600
24/5/13 436.66 437.63 -1.1  439.41 435.52 1132446
23/5/13 441.4 438.16 -0.7  444.91 437 1122446
22/5/13 444.71 451.28 -1.9  454.5 443.47 1192706
21/5/13 453.49 454.01 -0.2  455.83 448.81 917366
20/5/13 454.27 452.69 -0.1  460.25 452.65 1161050
17/5/13 454.59 455.01 0.6  456.72 450.28 1467880
16/5/13 451.94 459.5 -1.3  459.98 451.09 1634228
15/5/13 457.95 447.88 3.2  458.17 447.15 1782186
14/5/13 443.55 438.77 1.1  444.35 438.74 715972
13/5/13 438.77 439.45 -0.3  441.22 436.69 775850
10/5/13 440.12 437.5 1.0  440.2 436.17 884318
9/5/13 435.74 435.42 -0.2  439.83 434.12 869652
8/5/13 436.82 428.5 1.9  436.93 426.63 1221568
7/5/13 428.62 431.85 -0.5  431.85 425.39 909296
6/5/13 430.78 424.5 1.9  430.93 424.31 1069662
3/5/13 422.86 418.48 1.9  423.4 418.2 1259536
2/5/13 414.81 410.05 1.1  417.25 409.8 977776
1/5/13 410.22 411.63 -0.5  412.36 408.37 702168
30/4/13 412.29 409.5 0.7  413.75 408.87 1076464
29/4/13 409.53 401.63 2.2  411.28 401.55 1066234
26/4/13 400.71 403.8 -0.9  403.87 398.37 1416182
25/4/13 404.55 408.13 -0.6  408.24 403.82 927782
24/4/13 406.87 404.06 0.7  409 404 938934
23/4/13 403.95 400.51 1.0  407.75 400.2 1227372
22/4/13 399.86 400.3 -0.0  401.95 387.5 1378724
19/4/13 399.94 384.43 4.5  401.65 383.14 3253174
18/4/13 382.68 392.68 -2.2  392.9 380.68 1732570
17/4/13 391.28 393.38 -1.4  395.18 389.1 1210178
16/4/13 396.69 393.55 1.5  398 391.98 1010634
15/4/13 390.97 392.98 -1.0  398.5 388.53 1379262
12/4/13 395.03 396 -0.0  396 391.49 885894
11/4/13 395.2 396.48 0.0  396.55 392.06 1034436
10/4/13 395.09 391.43 1.6  396.15 388.01 1114330
9/4/13 388.83 387.75 0.4  391.87 386.6 1205662
8/4/13 387.43 389.38 -1.0  389.74 384.23 1620496
5/4/13 391.53 393.21 -1.5  393.47 388.2 2037238
4/4/13 795.07 805.46 -1.4  805.73 791.3 724306
3/4/13 403.2 406.63 -0.8  407.05 400.4 1020798
2/4/13 406.52 402.41 1.5  407.42 402.03 1229124
1/4/13 400.6 397.51 0.9  401.12 396.63 1019870
28/3/13 397.02 402 -1.1  402.69 396.65 1328626
27/3/13 401.33 403.38 -1.2  403.5 400.72 1060556
